Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
79.892,-17.426,-62.146,77.441,-19.999,-57.374
-2.7749,75.235,-72.319,-10.146,77.903,-67.746
61.433,-80.389,18.303,57.736,-69.202,11.28
47.27,37.605,-85.113,52.767,31.248,-84.566
-69.708,-2.5683,72.552,-63.295,-3.3861,66.769
84.745,-30.595,-53.909,82.251,-26.698,-55.309
-20.634,-61.087,82.298,-15.592,-66.603,82.913
4.6004,71.742,-76.335,2.309,70.605,-72.907
-7.8273,77.233,-69.776,-1.0571,74.818,-74.119
-52.839,-31.06,83.551,-49.122,-35.334,84.348
-13.498,80.011,-66.606,-8.6417,77.103,-68.533
-75.165,72.531,2.2653,-77.018,69.61,7.2739
0.34181,-72.123,71.843,5.8108,-67.648,61.775
-81.95,58.751,22.963,-82.644,55.961,26.795
-2.5572,-72.731,75.079,4.7816,-75.198,70.746
-77.343,7.2302,69.707,-78.759,11.253,67.278
1.6446,70.654,-72.42,10.159,60.661,-70.981
33.886,50.247,-84.409,37.769,46.013,-83.98
53.156,-85,31.346,55.456,-83.172,27.421
8.5267,-77.807,69.552,1.936,-75.161,72.797
26.487,56.166,-82.556,29.931,52.348,-82.45
28.89,54.189,-83.35,32.826,51.08,-83.825
85.07,-33.575,-51.355,83.818,-29.935,-53.521
14.422,-79.617,64.615,8.797,-74.431,65.384
-41.384,85.051,-43.792,-46.922,85.001,-37.802
-84.665,39.912,44.636,-79.793,39.235,40.532
-17.712,78.524,-60.781,-21.037,71.688,-50.62
31.643,52.179,-83.629,36.142,48.477,-84.574
-60.297,82.621,-22.132,-59.603,81.719,-21.607
-82.595,38.128,44.405,-73.335,38.501,34.741
-81.298,22.519,58.288,-77.943,29.464,48.352
-23.559,-59.121,83.056,-21.716,-56.102,78.035
-58.039,83.064,-24.524,-60.109,80.997,-20.706
